language,function_name,file_path,category,complexity,lines_of_code,description,features_demonstrated
Python,bubble_sort,algorithms_basic.py,Sorting,Beginner,15,"Simple bubble sort implementation","Basic loops, list manipulation, swapping"
Python,binary_search,algorithms_basic.py,Search,Beginner,12,"Binary search in sorted array","Recursion, divide and conquer"
Python,fibonacci_recursive,algorithms_basic.py,Mathematical,Beginner,8,"Recursive Fibonacci sequence","Recursion, base cases"
Python,factorial,algorithms_basic.py,Mathematical,Beginner,6,"Factorial calculation","Recursion, mathematical operations"
Python,LinkedList,data_structures_part1.py,Data Structure,Intermediate,45,"Custom linked list implementation","OOP, pointers/references, traversal"
Python,BinaryTree,data_structures_part1.py,Data Structure,Advanced,60,"Binary tree with traversal methods","Tree structures, recursion, DFS/BFS"
Python,Graph,data_structures_part2.py,Data Structure,Advanced,80,"Graph with DFS/BFS algorithms","Graph theory, adjacency lists, traversal"
Python,HashTable,data_structures_part2.py,Data Structure,Intermediate,40,"Hash table with collision handling","Hashing, collision resolution"
Python,async_web_scraper,async_threading.py,Concurrency,Advanced,35,"Asynchronous web scraping","async/await, aiohttp, concurrency"
Python,ThreadPool,async_threading.py,Concurrency,Intermediate,25,"Thread pool executor example","Threading, concurrent execution"
Python,Machine Learning Pipeline,ml_data_science.py,ML/AI,Advanced,120,"Complete ML pipeline with sklearn","Data preprocessing, model training, evaluation"
Python,Neural Network,ml_data_science.py,ML/AI,Advanced,80,"Neural network from scratch","Backpropagation, gradient descent"
Python,encrypt_decrypt,security_cryptography.py,Security,Advanced,40,"AES encryption/decryption","Cryptography, security, data protection"
Python,hash_password,security_cryptography.py,Security,Intermediate,15,"Password hashing with salt","Security best practices, bcrypt"
Python,comprehensive_tests,testing_comprehensive.py,Testing,Intermediate,100,"Comprehensive testing examples","Unit tests, mocking, fixtures"
JavaScript,mergeSort,algorithms_advanced.js,Sorting,Intermediate,25,"Merge sort implementation","Divide and conquer, recursion"
JavaScript,quickSort,algorithms_advanced.js,Sorting,Intermediate,30,"Quick sort with partitioning","In-place sorting, partitioning"
JavaScript,AVLTree,algorithms_advanced.js,Data Structure,Advanced,150,"Self-balancing AVL tree","Tree balancing, rotations"
JavaScript,Dijkstra,algorithms_advanced.js,Graph Algorithm,Advanced,80,"Dijkstra's shortest path algorithm","Graph algorithms, priority queue"
JavaScript,LRUCache,advanced_features.js,Data Structure,Advanced,60,"Least Recently Used cache","Caching strategies, doubly linked list"
JavaScript,EventEmitter,advanced_features.js,Design Pattern,Intermediate,40,"Custom event emitter implementation","Observer pattern, event handling"
JavaScript,Promise,functional_async.js,Async Programming,Intermediate,30,"Promise-based asynchronous operations","Promises, async/await"
JavaScript,Generator,functional_async.js,Advanced Feature,Intermediate,25,"Generator functions for iteration","Generators, yield, iteration protocols"
JavaScript,Proxy,advanced_features.js,Meta Programming,Advanced,35,"Proxy for object interception","Meta programming, property access"
JavaScript,SimpleRouter,nodejs_backend.js,Backend,Advanced,200,"HTTP server with routing system","Node.js, HTTP, middleware"
JavaScript,Database,nodejs_backend.js,Database,Intermediate,150,"In-memory database simulation","Data persistence, CRUD operations"
JavaScript,RealTimeService,nodejs_backend.js,Real-time,Advanced,100,"WebSocket-like real-time service","Real-time communication, events"
JavaScript,CacheService,nodejs_backend.js,Caching,Intermediate,80,"TTL-based caching service","Caching, TTL, memory management"
JavaScript,RateLimiter,nodejs_backend.js,Security,Intermediate,50,"Rate limiting implementation","Security, request throttling"
Java,Shape,AdvancedOOPDemo.java,OOP,Intermediate,40,"Abstract shape class hierarchy","Inheritance, abstract classes, polymorphism"
Java,ShapeFactory,AdvancedOOPDemo.java,Design Pattern,Intermediate,25,"Factory pattern for shape creation","Factory pattern, object creation"
Java,Observer,AdvancedOOPDemo.java,Design Pattern,Intermediate,35,"Observer pattern implementation","Observer pattern, event notification"
Java,Decorator,AdvancedOOPDemo.java,Design Pattern,Advanced,40,"Decorator pattern for shapes","Decorator pattern, behavior extension"
Java,Strategy,AdvancedOOPDemo.java,Design Pattern,Intermediate,30,"Strategy pattern for calculations","Strategy pattern, algorithm encapsulation"
Java,Reflection,AdvancedOOPDemo.java,Meta Programming,Advanced,20,"Reflection for object inspection","Reflection API, runtime introspection"
Java,BinarySearchTree,DataStructuresAdvanced.java,Data Structure,Advanced,200,"AVL tree implementation","Self-balancing trees, rotations"
Java,Heap,DataStructuresAdvanced.java,Data Structure,Intermediate,120,"Generic heap implementation","Priority queues, heap operations"
Java,Trie,DataStructuresAdvanced.java,Data Structure,Advanced,100,"Prefix tree for string operations","String algorithms, prefix matching"
Java,Graph,DataStructuresAdvanced.java,Data Structure,Advanced,250,"Graph with various algorithms","Graph theory, pathfinding, cycle detection"
Java,HashTable,DataStructuresAdvanced.java,Data Structure,Intermediate,120,"Custom hash table with chaining","Hashing, collision resolution, resizing"
Java,UnionFind,DataStructuresAdvanced.java,Data Structure,Advanced,60,"Disjoint set data structure","Union-find, path compression"
Java,LRUCache,DataStructuresAdvanced.java,Data Structure,Advanced,100,"Least Recently Used cache","Caching, doubly linked list"
Java,StreamProcessing,comprehensive_examples.java,Functional,Intermediate,80,"Stream API for data processing","Functional programming, lambdas, streams"
Solidity,SimpleToken,SimpleToken.sol,Blockchain,Intermediate,120,"Basic ERC-20 token implementation","Token standards, blockchain programming"
Solidity,SimpleVoting,SimpleVoting.sol,Blockchain,Intermediate,140,"Voting contract with proposals","Governance, decentralized voting"
Solidity,MultiSigWallet,MultiSigWallet.sol,Blockchain,Advanced,180,"Multi-signature wallet","Security, multi-party authorization"
Solidity,SimpleNFT,SimpleNFT.sol,Blockchain,Advanced,200,"Basic ERC-721 NFT implementation","NFTs, digital assets, metadata"
Solidity,EncryptionA,EncryptionA.sol,Cryptography,Advanced,150,"Advanced encryption library","Cryptography, ECIES, elliptic curves"
Solidity,ReflectionRewards,ReflectionLibrary.sol,DeFi,Expert,600,"Complex reflection rewards system","DeFi, tokenomics, gas optimization"
Solidity,EncryptionManager,EncryptionManager.sol,Security,Advanced,120,"Contract encryption management","Access control, time-based security"
Solidity,LockableContract,LockableContract.sol,Security,Advanced,100,"Contract with locking mechanisms","Security patterns, access control"
Solidity,WorkingLockManager,WorkingLockManager.sol,Security,Advanced,180,"Interface locking management","Complex security, state management"
C,dynamic_array,data_structures.c,Data Structure,Intermediate,80,"Dynamic array implementation","Memory management, reallocation"
C,linked_list,data_structures.c,Data Structure,Intermediate,90,"Linked list with operations","Pointers, memory allocation"
C,hash_table,data_structures.c,Data Structure,Advanced,120,"Hash table with chaining","Hashing, collision handling, C strings"
C,quick_sort,algorithms.c,Sorting,Intermediate,40,"Quick sort implementation","Divide and conquer, in-place sorting"
C,merge_sort,algorithms.c,Sorting,Intermediate,60,"Merge sort with memory allocation","Stable sorting, memory management"
C,binary_search,algorithms.c,Search,Beginner,20,"Binary search algorithm","Array searching, divide and conquer"
Dart,Person,dart_fundamentals.dart,OOP,Beginner,30,"Basic class with constructors","OOP basics, constructors, getters/setters"
Dart,Stack,dart_fundamentals.dart,Data Structure,Intermediate,40,"Generic stack implementation","Generics, data structures"
Dart,Bird,dart_fundamentals.dart,OOP,Intermediate,25,"Inheritance and mixins example","Inheritance, mixins, abstract classes"
Dart,Task,dart_fundamentals.dart,OOP,Intermediate,35,"Task management with enums","Enums, date/time handling"
Dart,fetchUserData,dart_fundamentals.dart,Async,Intermediate,15,"Async data fetching","Futures, async/await, error handling"
Dart,countStream,dart_fundamentals.dart,Async,Intermediate,20,"Stream generation","Streams, async generators"
Dart,StringExtensions,dart_fundamentals.dart,Extension,Intermediate,25,"String extension methods","Extension methods, string manipulation"
Haskell,quicksort,functional_programming.hs,Sorting,Intermediate,6,"Functional quicksort","List comprehensions, recursion"
Haskell,fibonacci,functional_programming.hs,Mathematical,Intermediate,3,"Infinite Fibonacci sequence","Lazy evaluation, infinite lists"
Haskell,Tree,functional_programming.hs,Data Structure,Advanced,40,"Binary tree operations","Algebraic data types, pattern matching"
Haskell,eval,functional_programming.hs,Interpreter,Advanced,25,"Expression evaluator","Monads, pattern matching, recursion"
Haskell,safeCalculation,functional_programming.hs,Functional,Advanced,15,"Safe mathematical operations","Maybe monad, error handling"
Haskell,pythagoreanTriples,functional_programming.hs,Mathematical,Intermediate,8,"Generate Pythagorean triples","List comprehensions, mathematical logic"
Haskell,primes,functional_programming.hs,Mathematical,Advanced,5,"Infinite prime sequence","Lazy evaluation, sieve algorithm"
Lua,person,lua_programming.lua,OOP,Beginner,20,"Object-oriented programming","Tables as objects, methods"
Lua,Animal,lua_programming.lua,OOP,Intermediate,40,"Inheritance with metatables","Metatables, inheritance patterns"
Lua,createCounter,lua_programming.lua,Functional,Intermediate,15,"Closure for state management","Closures, lexical scoping"
Lua,fibonacci,lua_programming.lua,Coroutine,Advanced,20,"Fibonacci with coroutines","Coroutines, yield, infinite sequences"
Lua,Stack,lua_programming.lua,Data Structure,Intermediate,35,"Stack data structure","Data structures, encapsulation"
Lua,bubbleSort,lua_programming.lua,Sorting,Beginner,25,"Bubble sort algorithm","Sorting, nested loops"
Lua,quickSort,lua_programming.lua,Sorting,Intermediate,35,"Quick sort with partitioning","Divide and conquer, recursion"
R,linear_regression,data_analysis.R,Statistics,Intermediate,15,"Linear regression modeling","Statistical modeling, R syntax"
R,data_frame,data_analysis.R,Data Structure,Beginner,20,"Data frame operations","Data manipulation, R data types"
R,apply_functions,data_analysis.R,Functional,Intermediate,25,"Apply family functions","Functional programming, data processing"
R,time_series,data_analysis.R,Time Series,Advanced,30,"Time series analysis","Time series, date handling"
R,matrix_operations,data_analysis.R,Linear Algebra,Intermediate,40,"Matrix operations","Linear algebra, mathematical computing"
Shell,variables,bash_examples.sh,Basics,Beginner,20,"Variable handling","Variable assignment, string manipulation"
Shell,functions,bash_examples.sh,Functions,Intermediate,50,"Function definition and usage","Functions, parameter passing"
Shell,loops,bash_examples.sh,Control Flow,Beginner,40,"Loop constructs","For loops, while loops, until loops"
Shell,text_processing,bash_examples.sh,Text Processing,Intermediate,60,"Text processing with awk/grep","Text processing, regular expressions"
Shell,error_handling,bash_examples.sh,Error Handling,Intermediate,30,"Error handling patterns","Error handling, exit codes"
Shell,file_operations,bash_examples.sh,File I/O,Intermediate,50,"File and directory operations","File system operations, permissions"
SQL,table_creation,comprehensive_database.sql,DDL,Beginner,80,"Database schema creation","Table creation, constraints, relationships"
SQL,complex_joins,comprehensive_database.sql,DQL,Intermediate,40,"Multi-table joins","JOIN operations, table relationships"
SQL,window_functions,comprehensive_database.sql,Analytics,Advanced,60,"Analytical window functions","Window functions, rankings, aggregations"
SQL,stored_procedures,comprehensive_database.sql,Programming,Advanced,100,"Stored procedures and functions","Procedural SQL, control flow"
SQL,cte_recursive,comprehensive_database.sql,Advanced,Advanced,30,"Recursive common table expressions","CTEs, hierarchical queries"
SQL,triggers,comprehensive_database.sql,Database,Advanced,25,"Database triggers","Triggers, automated actions"
