pattern_name,pattern_type,language_support,complexity,use_cases,description,benefits,drawbacks
Singleton,Creational,All,Low,"Database connections,Configuration,Logging","Ensures only one instance of a class exists","Global access,Resource sharing","Global state,Testing difficulties"
Factory Method,Creational,All,Medium,"Object creation,Frameworks,Plugin systems","Creates objects without specifying exact classes","Loose coupling,Extensibility","Increased complexity"
Abstract Factory,Creational,OOP Languages,High,"Cross-platform development,UI frameworks","Creates families of related objects","Platform independence,Consistency","Complex hierarchy"
Builder,Creational,All,Medium,"Complex object construction,Configuration","Constructs complex objects step by step","Readable code,Flexible construction","More code required"
Prototype,Creational,OOP Languages,Medium,"Object cloning,Performance optimization","Creates objects by cloning existing instances","Performance benefits,Flexibility","Memory overhead"
Adapter,Structural,All,Low,"Legacy integration,Third-party libraries","Allows incompatible interfaces to work together","Code reuse,Integration","Additional layer"
Bridge,Structural,OOP Languages,High,"Device drivers,GUI frameworks","Separates abstraction from implementation","Platform independence,Flexibility","Increased complexity"
Composite,Structural,OOP Languages,Medium,"File systems,UI components,Graphics","Composes objects into tree structures","Uniform interface,Hierarchical structure","Memory overhead"
Decorator,Structural,All,Medium,"Middleware,Stream processing,UI enhancement","Adds behavior to objects dynamically","Runtime modification,Single responsibility","Complex object relationships"
Facade,Structural,All,Low,"API design,Library wrapping","Provides simplified interface to complex subsystem","Simplicity,Loose coupling","Hidden complexity"
Flyweight,Structural,OOP Languages,High,"Game objects,Text rendering","Minimizes memory usage by sharing data","Memory efficiency,Performance","Complexity,Shared state issues"
Proxy,Structural,All,Medium,"Lazy loading,Access control,Caching","Provides placeholder for another object","Controlled access,Performance","Additional layer"
Observer,Behavioral,All,Medium,"Event systems,MVC pattern,Notifications","Notifies multiple objects about state changes","Loose coupling,Dynamic relationships","Memory leaks,Performance"
Strategy,Behavioral,All,Low,"Algorithms,Payment processing,Sorting","Encapsulates algorithms and makes them interchangeable","Algorithm flexibility,Open/closed principle","Increased number of classes"
Command,Behavioral,All,Medium,"GUI actions,Undo operations,Queuing","Encapsulates requests as objects","Undo/redo,Queuing,Logging","Memory overhead"
State,Behavioral,OOP Languages,Medium,"State machines,Game AI,Workflow","Changes object behavior based on internal state","Clean state transitions,Maintainability","State explosion"
Template Method,Behavioral,OOP Languages,Low,"Frameworks,Algorithms,Data processing","Defines skeleton of algorithm in base class","Code reuse,Inversion of control","Inheritance coupling"
Iterator,Behavioral,All,Low,"Collections,Data traversal","Provides way to access elements sequentially","Uniform access,Encapsulation","Additional complexity"
Chain of Responsibility,Behavioral,All,Medium,"Request handling,Middleware,Validation","Passes requests along chain of handlers","Flexible request handling,Decoupling","Performance overhead"
Mediator,Behavioral,All,High,"Communication systems,UI components","Defines how objects interact with each other","Reduced coupling,Centralized control","Mediator complexity"
Memento,Behavioral,OOP Languages,Medium,"Undo operations,Save states,Checkpoints","Captures and restores object state","State preservation,Encapsulation","Memory usage"
Visitor,Behavioral,OOP Languages,High,"Compilers,AST processing,Reporting","Defines operations on object structure","Operations separation,Extensibility","Circular dependencies"
MVC,Architectural,All,Medium,"Web applications,Desktop apps,Mobile apps","Separates model,view,and controller","Separation of concerns,Maintainability","Complex interactions"
MVP,Architectural,All,Medium,"Desktop applications,Web frameworks","Presenter handles UI logic","Testability,Separation of concerns","Presenter complexity"
MVVM,Architectural,Binding-capable,High,"WPF,Angular,Vue.js","View model binds to view","Data binding,Testability","Complex binding logic"
Repository,Data Access,All,Low,"Data access,Testing,Abstraction","Abstracts data access logic","Testability,Abstraction","Additional layer"
Unit of Work,Data Access,OOP Languages,Medium,"Database transactions,ORM","Maintains list of objects affected by transaction","Transaction management,Performance","Complexity"
Data Access Object,Data Access,All,Low,"Database access,Legacy systems","Abstracts and encapsulates data access","Separation of concerns,Maintability","Additional layer"
Dependency Injection,Architectural,All,Medium,"Framework design,Testing,IoC","Provides dependencies from external source","Testability,Loose coupling","Configuration complexity"
Inversion of Control,Architectural,All,High,"Frameworks,Plugin systems","Inverts control flow to framework","Framework flexibility,Loose coupling","Learning curve"
Event Sourcing,Architectural,All,High,"Audit trails,CQRS,Event-driven systems","Stores events instead of current state","Audit trail,Time travel,Scalability","Complexity,Storage overhead"
CQRS,Architectural,All,High,"Complex domains,Scalability,Performance","Separates read and write operations","Scalability,Performance,Flexibility","Complexity,Eventual consistency"
Microservices,Architectural,All,High,"Distributed systems,Scalability,Teams","Decomposes application into small services","Scalability,Technology diversity,Team autonomy","Distributed complexity,Overhead"
Layered Architecture,Architectural,All,Medium,"Enterprise applications,Web apps","Organizes code into layers","Separation of concerns,Maintainability","Performance overhead"
Hexagonal Architecture,Architectural,All,High,"Domain-driven design,Testing","Isolates core logic from external concerns","Testability,Flexibility","Complexity,Learning curve"
Onion Architecture,Architectural,OOP Languages,High,"Domain-driven design,Clean architecture","Dependencies point inward to domain","Domain focus,Testability","Learning curve"
Clean Architecture,Architectural,All,High,"Complex applications,Long-term maintenance","Independent of frameworks and external agencies","Maintainability,Testability,Independence","Initial complexity"
Pipe and Filter,Architectural,All,Medium,"Data processing,Compilers,ETL","Processes data through sequence of filters","Modularity,Reusability,Parallelism","Performance overhead"
Blackboard,Architectural,AI Languages,High,"AI systems,Expert systems","Multiple agents work on shared knowledge base","Collaboration,Flexibility","Coordination complexity"
Publish-Subscribe,Messaging,All,Medium,"Event systems,Message queues,Notifications","Publishers send messages to subscribers","Loose coupling,Scalability","Message delivery complexity"
Request-Response,Messaging,All,Low,"Client-server,Web services,RPC","Client sends request and waits for response","Simplicity,Synchronous communication","Blocking,Coupling"
Message Queue,Messaging,All,Medium,"Asynchronous processing,Load balancing","Stores messages between producers and consumers","Asynchronous processing,Load balancing","Message persistence complexity"
